Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,iso_alpha3
US,,United States,17.1,81.8,11.1,9869.7,9869.7,0.0,2.6,8.6,54.7,100.0,98.0,USA
Uruguay,,Uruguay,9.1,71.7,17.4,1379.1,1958.9,0.0,5.0,1.9,38.9,100.0,99.0,URY
Uzbekistan,,Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,,,UZB
,,Vanuatu,3.7,53.9,8.4,109.8,116.1,34.6,0.2,1.4,3.2,43.0,,XXX
Venezuela,,"Venezuela, RB",3.2,24.1,40.0,1578.4,940.0,0.0,,,18.1,81.0,100.0,VEN
Vietnam,,Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,,96.0,,VNM
,,West Bank and Gaza,,,,,,,,,,96.0,,XXX
,,"Yemen, Rep.",5.6,10.2,81.0,72.0,144.5,7.8,0.3,0.7,0.8,30.7,,XXX
Zambia,,Zambia,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,,ZMB
Zimbabwe,,Zimbabwe,9.4,46.5,21.2,93.9,185.0,25.4,0.1,1.2,1.6,38.0,,ZWE
